ABV;IBU;Rating;BrandAwareness;Style_ale;Style_lager;Style_hybrid
5.0;;65.3;15698;0;1;0
5.5;50,0;62.8;12433;1;0;0
4.8;35,0;70.7;5364;0;1;0
4.5;30,0;64.5;3228;1;0;0
;;58.8;218;0;1;0
4.5;;60.5;871;0;1;0
8.0;75,0;93.7;9495;1;0;0
6.0;;67.1;35040;1;0;0
4.7;;73.9;111;0;1;0
4.0;;85.8;34947;0;0;1
4.7;;54.9;1073;0;1;0
7.0;95,0;77.7;13630;1;0;0
4.2;35,0;53.0;6216;0;0;1
18.6;30,0;86.6;9306;1;0;0
8.0;24,0;67.3;636;1;0;0
6.5;28,0;78.3;8359;0;1;0
5.0;;77.5;729;1;0;0
7.2;123,0;77.3;13628;1;0;0
12.0;;86.0;78;1;0;0
6.5;65,0;78.1;31300;1;0;0
7.2;35,0;83.9;2471;1;0;0
14.0;82,0;89.6;22680;1;0;0
5.1;;64.2;319;1;0;0
5.0;;74.7;1170;0;1;0
6.0;;75.1;17639;1;0;0
8.5;;73.7;4495;1;0;0
4.5;15,0;77.4;2349;1;0;0
6.4;;83.2;5877;1;0;0
6.0;35,0;65.1;5472;1;0;0
7.2;;69.0;1393;1;0;0
5.2;45,0;84.5;382;1;0;0
5.6;38,0;67.4;5575;1;0;0
9.0;44,0;83.7;9770;1;0;0
5.6;;73.0;3390;0;1;0
5.8;50,0;84.6;13167;1;0;0
10.5;115,0;87.5;45716;1;0;0
7.8;;73.6;78;0;1;0
9.0;126,0;78.5;6443;1;0;0
9.0;80,0;73.2;47586;1;0;0
5.2;;65.0;5203;0;1;0
7.0;;70.3;1172;1;0;0
4.8;22,0;71.7;5601;1;0;0
5.2;;71.4;2757;1;0;0
4.5;;68.9;2590;1;0;0
5.4;20,0;75.3;8475;1;0;0
8.0;;71.2;1825;1;0;0
6.0;36,0;79.3;6591;1;0;0
5.4;;79.7;2142;1;0;0
7.0;100,0;78.5;23386;1;0;0
10.4;;83.6;1553;1;0;0
6.5;20,0;63.5;10199;1;0;0
5.8;34,0;73.9;7846;1;0;0
9.6;1000,0;82.4;20526;1;0;0
7.0;;77.5;15164;1;0;0
7.5;27,0;73.2;2165;1;0;0
8.1;66,0;80.1;19264;1;0;0
5.2;;68.4;14531;0;1;0
4.9;;66.1;7798;1;0;0
8.8;;80.5;3437;1;0;0
9.0;;81.4;4804;1;0;0
8.5;;80.6;3114;1;0;0
5.5;10,0;62.5;35011;0;0;1
5.3;;80.9;5013;1;0;0
5.1;;65.9;10161;1;0;0
9.0;90,0;72.2;4588;0;1;0
4.2;;54.2;7226;0;1;0
8.0;;70.3;1187;1;0;0
6.1;;70.6;3112;1;0;0
8.4;;75.4;12850;1;0;0
5.5;49,0;76.5;7283;1;0;0
8.0;80,0;87.6;6669;1;0;0
3.7;;71.4;2206;1;0;0
10.0;50,0;72.7;10868;1;0;0
16.5;;80.9;617;0;0;1
5.8;27,0;63.2;12246;1;0;0
;;41.6;173;0;1;0
10.5;;83.6;1358;1;0;0
9.5;75,0;79.4;13566;1;0;0
5.6;22,0;67.6;111135;1;0;0
6.0;;64.0;18497;0;1;0
4.8;20,0;63.9;4631;1;0;0
4.7;16,0;73.6;10099;1;0;0
4.7;;59.8;176835;0;1;0
7.0;;86.8;3430;1;0;0
11.5;60,0;72.3;3925;1;0;0
5.0;4,0;;14440;1;0;0
6.2;20,0;77.1;3097;0;1;0
6.0;;73.6;5300;1;0;0
10.5;;62.1;2214;1;0;0
12.0;;85.4;1275;1;0;0
10.5;;89.3;737;1;0;0
11.3;20,0;86.7;18456;1;0;0
6.0;43,0;71.9;1577;1;0;0
10.0;20,0;84.5;22134;1;0;0
4.2;;53.3;1552;0;1;0
12.5;30,0;82.9;4735;1;0;0
8.0;;61.3;9311;0;1;0
0.3;;45.2;168;1;0;0
5.5;;67.7;5631;1;0;0
5.9;;67.4;2926;0;1;0
9.75;90,0;74.4;29597;1;0;0
5.75;;79.0;5022;1;0;0
5.0;26,0;64.5;20716;1;0;0
5.5;30,0;69.0;13455;1;0;0
6.0;42,0;73.0;1429;0;1;0
5.4;;64.2;5890;1;0;0
5.6;18,0;77.1;22132;0;1;0
5.3;35,0;68.6;231;1;0;0
6.6;90,0;78.4;15297;1;0;0
8.0;;68.9;3850;1;0;0
7.4;75,0;78.6;20464;1;0;0
5.0;18,0;63.6;10373;1;0;0
6.1;;72.0;4609;0;0;1
8.0;80,0;91.1;8139;1;0;0
6.5;60,0;75.1;17531;1;0;0
9.0;40,0;82.1;53996;1;0;0
4.8;;59.7;4966;0;1;0
5.6;;61.7;3535;0;1;0
7.0;;98.9;4948;1;0;0
5.0;36,0;74.9;2506;1;0;0
9.0;;71.8;260;0;1;0
